동시 접속자 수,구현 방식,총 처리량(건),평균 지연 시간(ms),최고 지연 시간(ms),비고
300,멀티스레드,590309,0.03,11379,
300,epoll(단일),452877,0.80,849653,
1000,멀티스레드,1193464,6.32,206032,
1000,epoll(단일),491482,90.33,10211100,
2000,멀티스레드,1277864,24.36,3934270,
2000,epoll(단일),492275,29860.10,20043400,
5000,멀티스레드,2462153,32.15,18979500,
5000,epoll(단일),514978,124863.00,20058100,
10000,멀티스레드,2761003,2632.57,20217400,
10000,epoll(단일),675233,175189.00,23781800,
50000,공통,-,-,-,클라이언트 크래시
